,db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
151,NBA,핸디캡,"올랜매직
점수
121.5
H +6.5
:
점수
135 멤피그리","승
1.79
-패
1.69","02.06 (일)
07:00"
152,NBA,언더오버,"올랜매직
U/O 221.5
총 점수
250 멤피그리","U
1.74
-O
1.74","02.06 (일)
07:00"
153,NBA,일반,"샬럿호네
점수
86 :
점수
104 마이히트","승
2.22
-패
1.43","02.06 (일)
09:00"
154,NBA,핸디캡,"샬럿호네
점수
90.5
H +4.5
사전조건 변경
:
점수
104 마이히트","승
1.74
-패
1.74","02.06 (일)
09:00"
155,NBA,언더오버,"샬럿호네
U/O 227.5
사전조건 변경
총 점수
190 마이히트","U
1.73
-O
1.75","02.06 (일)
09:00"
156,NBA,일반,"워싱위저
점수
80 :
점수
95 피닉선즈","승
3.24
-패
1.19","02.06 (일)
09:00"
157,NBA,핸디캡,"워싱위저
점수
87.5
H +7.5
:
점수
95 피닉선즈","승
1.77
-패
1.71","02.06 (일)
09:00"
158,NBA,언더오버,"워싱위저
U/O 219.5
사전조건 변경
총 점수
175 피닉선즈","U
1.74배당률 상승
-O
1.74배당률 하락","02.06 (일)
09:00"
159,NBA,일반,"LA레이커
점수
122 :
점수
115 뉴욕닉스","승
1.37배당률 하락
-패
2.38배당률 상승","02.06 (일)
10:30"
160,NBA,핸디캡,"LA레이커
점수
117.5
H -4.5
사전조건 변경
:
점수
115 뉴욕닉스","승
1.76
-패
1.72","02.06 (일)
10:30"
161,NBA,언더오버,"LA레이커
U/O 213.5
총 점수
237 뉴욕닉스","U
1.74
-O
1.74","02.06 (일)
10:30"
162,NBA,일반,"포틀트레
점수
108 :
점수
137 밀워벅스","승
4.31배당률 상승
-패
1.09배당률 하락","02.06 (일)
12:00"
163,NBA,핸디캡,"포틀트레
점수
119.5
H +11.5
사전조건 변경
:
점수
137 밀워벅스","승
1.74
-패
1.74","02.06 (일)
12:00"
164,NBA,언더오버,"포틀트레
U/O 229.5
사전조건 변경
총 점수
245 밀워벅스","U
1.74배당률 하락
-O
1.74배당률 상승","02.06 (일)
12:00"
165,NBA,일반,"새크킹스
점수
113 :
점수
103 오클썬더","승
1.19배당률 하락
-패
3.24배당률 상승","02.06 (일)
12:00"
166,NBA,핸디캡,"새크킹스
점수
105.5
H -7.5
사전조건 변경
:
점수
103 오클썬더","승
1.73배당률 하락
-패
1.75배당률 상승","02.06 (일)
12:00"
167,NBA,언더오버,"새크킹스
U/O 214.5
총 점수
216 오클썬더","U
1.78배당률 상승
-O
1.70배당률 하락","02.06 (일)
12:00"
168,KOVO남,일반,"OK금융그
점수
3 :
점수
2 삼성화재","승
1.43배당률 하락
-패
2.22배당률 상승","02.06 (일)
14:00"
169,KOVO남,핸디캡,"OK금융그
점수
1.5
H -1.5
:
점수
2 삼성화재","승
1.87
-패
1.63","02.06 (일)
14:00"
170,KOVO남,언더오버,"OK금융그
U/O 185.5
총 점수
225 삼성화재","U
1.74
-O
1.74","02.06 (일)
14:00"
171,A리그,일반,"웰링피닉
점수
3 :
점수
1 맥아서FC","승
2.65
무
3.25
패
2.15","02.06 (일)
14:05"
172,A리그,핸디캡,"웰링피닉
점수
4
H +1.0
:
점수
1 맥아서FC","승
1.53배당률 상승
무
3.80배당률 하락
패
4.30배당률 하락","02.06 (일)
14:05"
173,A리그,언더오버,"웰링피닉
U/O 2.5
총 점수
4 맥아서FC","U
1.79
-O
1.69","02.06 (일)
14:05"
174,KBL,일반,"서울SK
점수
80 :
점수
75 KT소닉붐","승
1.43
-패
2.22","02.06 (일)
15:00"
175,KBL,핸디캡,"서울SK
점수
76.5
H -3.5
:
점수
75 KT소닉붐","승
1.71배당률 하락
-패
1.77배당률 상승","02.06 (일)
15:00"
176,KBL,언더오버,"서울SK
U/O 168.5
총 점수
155 KT소닉붐","U
1.73
-O
1.75","02.06 (일)
15:00"
177,KBL,일반,"원주DB
점수
79 :
점수
68 모비스","승
2.09
-패
1.49","02.06 (일)
15:00"
178,KBL,핸디캡,"원주DB
점수
82.5
H +3.5
사전조건 변경
:
점수
68 모비스","승
1.74
-패
1.74","02.06 (일)
15:00"
179,KBL,언더오버,"원주DB
U/O 160.5
총 점수
147 모비스","U
1.75
-O
1.73","02.06 (일)
15:00"
180,KOVO여,일반,"IBK
점수
3 :
점수
0 페퍼저축","승
1.11배당률 상승
-패
4.02배당률 하락","02.06 (일)
16:00"
181,KOVO여,핸디캡,"IBK
점수
0.5
H -2.5
:
점수
0 페퍼저축","승
1.85
-패
1.64","02.06 (일)
16:00"
182,KOVO여,언더오버,"IBK
U/O 171.5
총 점수
133 페퍼저축","U
1.64배당률 하락
-O
1.85배당률 상승","02.06 (일)
16:00"
183,A리그,일반,멜버시티 : 퍼스글로,"승
1.33
발매차단
무
4.25
발매차단
패
6.20
발매차단","02.06 (일)
16:45"
184,A리그,핸디캡,"멜버시티
H -1.0
: 퍼스글로","승
2.11
발매차단
무
3.45
발매차단
패
2.60
발매차단","02.06 (일)
16:45"
185,A리그,언더오버,"멜버시티
U/O 2.5
: 퍼스글로","U
2.07
발매차단
-O
1.50
발매차단","02.06 (일)
16:45"
186,KBL,일반,"KCC
점수
99 :
점수
71 서울삼성","승
1.18
-패
3.31","02.06 (일)
17:00"
187,KBL,핸디캡,"KCC
점수
90.5
H -8.5
사전조건 변경
:
점수
71 서울삼성","승
1.74
-패
1.74","02.06 (일)
17:00"
188,KBL,언더오버,"KCC
U/O 157.5
총 점수
170 서울삼성","U
1.75
-O
1.73","02.06 (일)
17:00"
189,에레디비,일반,"페예노르
점수
4 :
점수
0 스파로테","승
1.18
무
5.00
패
9.80","02.06 (일)
20:15"
190,에레디비,핸디캡,"페예노르
점수
3
H -1.0
:
점수
0 스파로테","승
1.67배당률 하락
무
3.65배당률 상승
패
3.60배당률 상승","02.06 (일)
20:15"
191,에레디비,핸디캡,"페예노르
점수
1.5
H -2.5
:
점수
0 스파로테","승
2.63
-패
1.30","02.06 (일)
20:15"
192,에레디비,언더오버,"페예노르
U/O 2.5
총 점수
4 스파로테","U
2.07
-O
1.50","02.06 (일)
20:15"
193,세리에A,일반,"아탈란타
점수
1 :
점수
2 칼리아리","승
1.17
무
5.40
패
9.10","02.06 (일)
20:30"
194,세리에A,핸디캡,"아탈란타
점수
0
H -1.0
:
점수
2 칼리아리","승
1.62
무
3.95
패
3.60","02.06 (일)
20:30"
195,세리에A,핸디캡,"아탈란타
점수
-1.5
H -2.5
:
점수
2 칼리아리","승
2.63
-패
1.30","02.06 (일)
20:30"
196,세리에A,언더오버,"아탈란타
U/O 3.5
총 점수
3 칼리아리","U
1.64
-O
1.85","02.06 (일)
20:30"
197,프리그1,일반,"로리앙
점수
2 :
점수
0 랑스","승
3.05
무
3.25
패
1.95","02.06 (일)
21:00"
198,프리그1,핸디캡,"로리앙
점수
3
H +1.0
:
점수
0 랑스","승
1.60
무
3.65
패
4.00","02.06 (일)
21:00"
199,프리그1,언더오버,"로리앙
U/O 2.5
총 점수
2 랑스","U
1.74
-O
1.74","02.06 (일)
21:00"
200,라리가,일반,"발렌시아
점수
0 :
점수
0 소시에다","승
2.65배당률 상승
무
2.90배당률 하락
패
2.34배당률 상승","02.06 (일)
22:00"
201,라리가,핸디캡,"발렌시아
점수
1
H +1.0
:
점수
0 소시에다","승
1.46배당률 상승
무
3.80배당률 하락
패
4.95배당률 하락","02.06 (일)
22:00"
202,라리가,언더오버,"발렌시아
U/O 2.5
총 점수
0 소시에다","U
1.58
-O
1.94","02.06 (일)
22:00"
203,에레디비,일반,"흐로닝언
점수
2 :
점수
1 고어헤드","승
1.78
무
3.15
패
3.70","02.06 (일)
22:30"
204,에레디비,핸디캡,"흐로닝언
점수
1
H -1.0
:
점수
1 고어헤드","승
3.60배당률 상승
무
3.25배당률 하락
패
1.77배당률 상승","02.06 (일)
22:30"
205,에레디비,언더오버,"흐로닝언
U/O 2.5
총 점수
3 고어헤드","U
1.56
-O
1.97","02.06 (일)
22:30"
206,에레디비,일반,"빌럼II
점수
3 :
점수
1 발베이크","승
1.99배당률 상승
무
3.20배당률 하락
패
3.00배당률 하락","02.06 (일)
22:30"
207,에레디비,핸디캡,"빌럼II
점수
2
H -1.0
:
점수
1 발베이크","승
3.95
무
3.55
패
1.63","02.06 (일)
22:30"
208,에레디비,언더오버,"빌럼II
U/O 2.5
총 점수
4 발베이크","U
1.64
-O
1.85","02.06 (일)
22:30"
209,세리에A,일반,"볼로냐
점수
0 :
점수
0 엠폴리","승
1.90
무
3.45
패
3.00","02.06 (일)
23:00"
210,세리에A,핸디캡,"볼로냐
점수
-1
H -1.0
:
점수
0 엠폴리","승
3.40배당률 하락
무
3.75
패
1.70배당률 상승","02.06 (일)
23:00"
211,세리에A,언더오버,"볼로냐
U/O 2.5
총 점수
0 엠폴리","U
2.09
-O
1.49","02.06 (일)
23:00"
212,세리에A,일반,"삼프도리
점수
4 :
점수
0 사수올로","승
2.55
무
3.40
패
2.16","02.06 (일)
23:00"
213,세리에A,핸디캡,"삼프도리
점수
5
H +1.0
:
점수
0 사수올로","승
1.51배당률 상승
무
3.80배당률 하락
패
4.45배당률 상승","02.06 (일)
23:00"
214,세리에A,언더오버,"삼프도리
U/O 2.5
총 점수
4 사수올로","U
2.13
-O
1.47","02.06 (일)
23:00"
215,세리에A,일반,"베네치아
점수
0 :
점수
2 나폴리","승
6.60
무
4.25
패
1.31","02.06 (일)
23:00"
216,세리에A,핸디캡,"베네치아
점수
1
H +1.0
:
점수
2 나폴리","승
2.80배당률 상승
무
3.40배당률 하락
패
2.01배당률 하락","02.06 (일)
23:00"
217,세리에A,언더오버,"베네치아
U/O 2.5
총 점수
2 나폴리","U
2.00
-O
1.54","02.06 (일)
23:00"
218,프리그1,일반,"OGC니스
점수
0 :
점수
1 클레르몽","승
1.42배당률 하락
무
3.75
패
5.60배당률 상승","02.06 (일)
23:00"
219,프리그1,핸디캡,"OGC니스
점수
-1
H -1.0
:
점수
1 클레르몽","승
2.40배당률 하락
무
3.30배당률 하락
패
2.33배당률 상승","02.06 (일)
23:00"
220,프리그1,언더오버,"OGC니스
U/O 2.5
총 점수
1 클레르몽","U
1.84
-O
1.65","02.06 (일)
23:00"
221,프리그1,일반,"랭스
점수
5 :
점수
0 보르도","승
1.87
무
3.20
패
3.30","02.06 (일)
23:00"
222,프리그1,핸디캡,"랭스
점수
4
H -1.0
:
점수
0 보르도","승
3.85
무
3.50
패
1.66","02.06 (일)
23:00"
223,프리그1,언더오버,"랭스
U/O 2.5
총 점수
5 보르도","U
1.69배당률 상승
-O
1.79배당률 하락","02.06 (일)
23:00"
224,프리그1,일반,"RC스트라
점수
1 :
점수
0 낭트","승
1.63
무
3.35
패
4.20","02.06 (일)
23:00"
225,프리그1,핸디캡,"RC스트라
점수
0
H -1.0
:
점수
0 낭트","승
3.10
무
3.35
패
1.89","02.06 (일)
23:00"
226,프리그1,언더오버,"RC스트라
U/O 2.5
총 점수
1 낭트","U
1.70배당률 상승
-O
1.78배당률 하락","02.06 (일)
23:00"
227,프리그1,일반,"트루아AC
점수
0 :
점수
0 메스","승
1.97배당률 상승
무
2.95배당률 하락
패
3.30배당률 하락","02.06 (일)
23:00"
228,프리그1,핸디캡,"트루아AC
점수
-1
H -1.0
:
점수
0 메스","승
3.60배당률 하락
무
3.40배당률 하락
패
1.73배당률 상승","02.06 (일)
23:00"
229,프리그1,언더오버,"트루아AC
U/O 2.5
총 점수
0 메스","U
1.60
-O
1.91","02.06 (일)
23:00"
230,분데스리,일반,"도르트문
점수
2 :
점수
5 레버쿠젠","승
1.73
무
3.95
패
3.15","02.06 (일)
23:30"
231,분데스리,핸디캡,"도르트문
점수
1
H -1.0
:
점수
5 레버쿠젠","승
3.05배당률 상승
무
3.80배당률 하락
패
1.79배당률 상승","02.06 (일)
23:30"
232,분데스리,언더오버,"도르트문
U/O 3.5
총 점수
7 레버쿠젠","U
1.72
-O
1.76","02.06 (일)
23:30"
233,라리가,일반,"바르셀로
점수
4 :
점수
2 AT마드","승
2.10배당률 상승
무
3.00배당률 하락
패
2.95배당률 상승","02.07 (월)
00:15"
234,라리가,핸디캡,"바르셀로
점수
3
H -1.0
:
점수
2 AT마드","승
4.35
무
3.70
패
1.54","02.07 (월)
00:15"
235,라리가,언더오버,"바르셀로
U/O 2.5
총 점수
6 AT마드","U
1.66
-O
1.83","02.07 (월)
00:15"
236,에레디비,일반,"아약스
점수
3 :
점수
0 헤라클레","승
1.01
무
9.50
패
18.50","02.07 (월)
00:45"
237,에레디비,핸디캡,"아약스
점수
1
H -2.0
:
점수
0 헤라클레","승
1.60
무
4.25
패
3.45","02.07 (월)
00:45"
238,에레디비,핸디캡,"아약스
점수
-0.5
H -3.5
:
점수
0 헤라클레","승
2.35
-패
1.38","02.07 (월)
00:45"
239,에레디비,언더오버,"아약스
U/O 3.5
총 점수
3 헤라클레","U
2.15
-O
1.46","02.07 (월)
00:45"
240,아네이션,일반,"부르키나
점수
3 :
점수
3 카메룬","승
3.75배당률 하락
무
3.05배당률 하락
패
1.80배당률 상승","02.06 (일)
04:00"
241,아네이션,핸디캡,"부르키나
점수
4
H +1.0
:
점수
3 카메룬","승
1.74배당률 하락
무
3.35배당률 상승
패
3.60배당률 상승","02.06 (일)
04:00"
242,아네이션,언더오버,"부르키나
U/O 2.5
총 점수
6 카메룬","U
1.50배당률 상승
-O
2.07배당률 하락","02.06 (일)
04:00"
243,프리그1,일반,"스타드렌
점수
2 :
점수
0 브레스트","승
1.38
무
3.95
패
5.80","02.07 (월)
01:00"
244,프리그1,핸디캡,"스타드렌
점수
1
H -1.0
:
점수
0 브레스트","승
2.24배당률 하락
무
3.30배당률 하락
패
2.50배당률 상승","02.07 (월)
01:00"
245,프리그1,언더오버,"스타드렌
U/O 2.5
총 점수
2 브레스트","U
1.91
-O
1.60","02.07 (월)
01:00"
246,분데스리,일반,"볼프스부
점수
4 :
점수
1 그로이터","승
1.40
무
3.80
패
5.80","02.07 (월)
01:30"
247,분데스리,핸디캡,"볼프스부
점수
3
H -1.0
:
점수
1 그로이터","승
2.40
무
3.25
패
2.35","02.07 (월)
01:30"
248,분데스리,언더오버,"볼프스부
U/O 2.5
총 점수
5 그로이터","U
1.77
-O
1.71","02.07 (월)
01:30"
249,클럽월드,일반,"알힐랄
점수
6 :
점수
1 U알자지","승
1.55배당률 하락
무
3.65배당률 상승
패
4.35배당률 상승","02.07 (월)
01:30"
250,클럽월드,핸디캡,"알힐랄
점수
5
H -1.0
:
점수
1 U알자지","승
2.60배당률 하락
무
3.40배당률 하락
패
2.12배당률 상승","02.07 (월)
01:30"
251,클럽월드,언더오버,"알힐랄
U/O 2.5
총 점수
7 U알자지","U
1.85배당률 하락
-O
1.64배당률 상승","02.07 (월)
01:30"
252,세리에A,일반,"우디네세
점수
2 :
점수
0 토리노","승
2.60
무
3.05
패
2.29","02.07 (월)
02:00"
253,세리에A,핸디캡,"우디네세
점수
3
H +1.0
:
점수
0 토리노","승
1.50배당률 상승
무
3.75배당률 하락
패
4.65배당률 하락","02.07 (월)
02:00"
254,세리에A,언더오버,"우디네세
U/O 2.5
총 점수
2 토리노","U
1.60
-O
1.91","02.07 (월)
02:00"
255,라리가,일반,"베티스
점수
0 :
점수
2 비야레알","승
2.05배당률 하락
무
3.35
패
2.75배당률 상승","02.07 (월)
02:30"
256,라리가,핸디캡,"베티스
점수
-1
H -1.0
:
점수
2 비야레알","승
4.25
무
3.95
패
1.51","02.07 (월)
02:30"
257,라리가,언더오버,"베티스
U/O 2.5
총 점수
2 비야레알","U
1.97
-O
1.56","02.07 (월)
02:30"
258,아네이션,일반,"세네갈
점수
0 :
점수
0 이집트","승
1.99배당률 하락
무
2.70배당률 하락
패
3.60배당률 상승","02.07 (월)
04:00"
259,아네이션,핸디캡,"세네갈
점수
-1
H -1.0
:
점수
0 이집트","승
4.30배당률 하락
무
3.30배당률 하락
패
1.63배당률 상승","02.07 (월)
04:00"
260,아네이션,언더오버,"세네갈
U/O 2.5
총 점수
0 이집트","U
1.27배당률 하락
-O
2.76배당률 상승","02.07 (월)
04:00"
261,세리에A,일반,"유벤투스
점수
2 :
점수
0 엘라스","승
1.40
무
3.95
패
5.50","02.07 (월)
04:45"
262,세리에A,핸디캡,"유벤투스
점수
1
H -1.0
:
점수
0 엘라스","승
2.28
무
3.30
패
2.45","02.07 (월)
04:45"
263,세리에A,언더오버,"유벤투스
U/O 2.5
총 점수
2 엘라스","U
1.91
-O
1.60","02.07 (월)
04:45"
264,프리그1,일반,"릴OSC
점수
1 :
점수
5 PSG","승
3.70
무
3.45
패
1.70","02.07 (월)
04:45"
265,프리그1,핸디캡,"릴OSC
점수
2
H +1.0
:
점수
5 PSG","승
1.81
무
3.50
패
3.20","02.07 (월)
04:45"
266,프리그1,언더오버,"릴OSC
U/O 2.5
총 점수
6 PSG","U
1.87
-O
1.63","02.07 (월)
04:45"
267,라리가,일반,"레알마드
점수
1 :
점수
0 그라나다","승
1.15
무
5.70
패
9.60","02.07 (월)
05:00"
268,라리가,핸디캡,"레알마드
점수
0
H -1.0
:
점수
0 그라나다","승
1.58
무
3.90
패
3.85","02.07 (월)
05:00"
269,라리가,핸디캡,"레알마드
점수
-1.5
H -2.5
:
점수
0 그라나다","승
2.38
-패
1.37","02.07 (월)
05:00"
270,라리가,언더오버,"레알마드
U/O 3.5
총 점수
1 그라나다","U
1.58
-O
1.94","02.07 (월)
05:00"
271,NBA,일반,"시카불스
점수
108 :
점수
119 필라76s","승
1.89
-패
1.61","02.07 (월)
05:30"
272,NBA,핸디캡,"시카불스
점수
109.5
H +1.5
:
점수
119 필라76s","승
1.71
-패
1.77","02.07 (월)
05:30"
273,NBA,언더오버,"시카불스
U/O 219.5
사전조건 변경
총 점수
227 필라76s","U
1.74배당률 하락
-O
1.74배당률 상승","02.07 (월)
05:30"
274,NBA,일반,"미네울브
점수
118 :
점수
105 디트피스","승
1.06
-패
4.85","02.07 (월)
05:30"
275,NBA,핸디캡,"미네울브
점수
106.5
H -11.5
:
점수
105 디트피스","승
1.74
-패
1.74","02.07 (월)
05:30"
276,NBA,언더오버,"미네울브
U/O 228.5
사전조건 변경
총 점수
223 디트피스","U
1.74배당률 상승
-O
1.74배당률 하락","02.07 (월)
05:30"
277,NBA,일반,"덴버너게
점수
124 :
점수
104 브루네츠","승
1.31
-패
2.59","02.07 (월)
05:30"
278,NBA,핸디캡,"덴버너게
점수
118.5
H -5.5
:
점수
104 브루네츠","승
1.76
-패
1.72","02.07 (월)
05:30"
279,NBA,언더오버,"덴버너게
U/O 229.5
사전조건 변경
총 점수
228 브루네츠","U
1.74배당률 하락
-O
1.74배당률 상승","02.07 (월)
05:30"
280,NBA,일반,"클리캐벌
점수
98 :
점수
85 인디페이","승
1.24
-패
2.92","02.07 (월)
08:00"
281,NBA,핸디캡,"클리캐벌
점수
91.5
H -6.5
:
점수
85 인디페이","승
1.74
-패
1.74","02.07 (월)
08:00"
282,NBA,언더오버,"클리캐벌
U/O 216.5
총 점수
183 인디페이","U
1.73
-O
1.75","02.07 (월)
08:00"
283,NBA,일반,"올랜매직
점수
83 :
점수
116 보스셀틱","승
3.48배당률 상승
-패
1.16배당률 하락","02.07 (월)
08:00"
284,NBA,핸디캡,"올랜매직
점수
91.5
H +8.5
사전조건 변경
:
점수
116 보스셀틱","승
1.74배당률 하락
-패
1.74배당률 상승","02.07 (월)
08:00"
285,NBA,언더오버,"올랜매직
U/O 215.5
총 점수
199 보스셀틱","U
1.74
-O
1.74","02.07 (월)
08:00"
286,NBA,일반,"댈러매버
점수
103 :
점수
94 애틀호크","승
1.51
-패
2.05","02.07 (월)
08:00"
287,NBA,핸디캡,"댈러매버
점수
100.5
H -2.5
:
점수
94 애틀호크","승
1.75
-패
1.73","02.07 (월)
08:00"
288,NBA,언더오버,"댈러매버
U/O 220.5
총 점수
197 애틀호크","U
1.72
-O
1.76","02.07 (월)
08:00"
289,NBA,일반,"휴스로케
점수
107 :
점수
120 뉴올펠리","승
2.63배당률 상승
-패
1.30배당률 하락","02.07 (월)
09:00"
290,NBA,핸디캡,"휴스로케
점수
112.5
H +5.5
사전조건 변경
:
점수
120 뉴올펠리","승
1.75
-패
1.73","02.07 (월)
09:00"
291,NBA,언더오버,"휴스로케
U/O 227.5
사전조건 변경
총 점수
227 뉴올펠리","U
1.74
-O
1.74","02.07 (월)
09:00"
292,NBA,일반,"LA클리퍼
점수
113 :
점수
137 밀워벅스","승
2.45
-패
1.35","02.07 (월)
11:00"
293,NBA,핸디캡,"LA클리퍼
점수
117.5
H +4.5
:
점수
137 밀워벅스","승
1.82배당률 상승
-패
1.67배당률 하락","02.07 (월)
11:00"
294,NBA,언더오버,"LA클리퍼
U/O 226.5
총 점수
250 밀워벅스","U
1.74
-O
1.74","02.07 (월)
11:00"
295,A리그,일반,"웨스원더
점수
0 :
점수
1 웨스유나","승
2.08배당률 상승
무
3.20배당률 하락
패
2.80배당률 하락","02.05 (토)
15:05"
296,A리그,핸디캡,"웨스원더
점수
-1
H -1.0
:
점수
1 웨스유나","승
4.25배당률 상승
무
3.85배당률 상승
패
1.53배당률 하락","02.05 (토)
15:05"
297,A리그,언더오버,"웨스원더
U/O 2.5
총 점수
1 웨스유나","U
1.77
-O
1.71","02.05 (토)
15:05"
